Name,Display Name,Description,NRT Colors,NRT sizes,Parent,BREEZEMAX ACTIVE,On Hand,On Order,Store Description,Store Display Name,Image Name
ABC : ABC-Navy,Adult Basic Ball Cap Velcro*<,,Navy,,ABC,Yes,221,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Navy
ABC : ABC-R.Blue,Adult Basic Ball Cap Velcro*<,,Royal Blue,,ABC,Yes,1828,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Royal Blue
ABC : ABC-Wht,Adult Basic Ball Cap Velcro*<,,White,,ABC,Yes,123,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_White
ACC : ACC-Blush--  S,Adult Comfort Crewneck,,Blush Pink,Small,ACC,Yes,,300,,,ACC_Blush Pink
ACC : ACC-Blush-- M,Adult Comfort Crewneck,,Blush Pink,Medium,ACC,Yes,,300,,,ACC_Blush Pink
ACC : ACC-Blush-L,Adult Comfort Crewneck,,Blush Pink,Large,ACC,Yes,,300,,,ACC_Blush Pink
ACC : ACC-Blush-XL,Adult Comfort Crewneck,,Blush Pink,XL,ACC,Yes,,300,,,ACC_Blush Pink
ACC : ACC-Blush-XXL,Adult Comfort Crewneck,,Blush Pink,XXL,ACC,Yes,,200,,,ACC_Blush Pink
ACC : ACC-Blush-XXXL,Adult Comfort Crewneck,,Blush Pink,XXXL,ACC,Yes,,100,,,ACC_Blush Pink
ACC : ACC-Camel--  S,Adult Comfort Crewneck,,Camel,Small,ACC,Yes,,300,,,ACC_Camel
ACC : ACC-Camel-- M,Adult Comfort Crewneck,,Camel,Medium,ACC,Yes,,300,,,ACC_Camel
ACC : ACC-Camel-L,Adult Comfort Crewneck,,Camel,Large,ACC,Yes,,300,,,ACC_Camel
ACC : ACC-Camel-XL,Adult Comfort Crewneck,,Camel,XL,ACC,Yes,,300,,,ACC_Camel
ACC : ACC-Camel-XXL,Adult Comfort Crewneck,,Camel,XXL,ACC,Yes,,200,,,ACC_Camel
ACC : ACC-Camel-XXXL,Adult Comfort Crewneck,,Camel,XXXL,ACC,Yes,,100,,,ACC_Camel
ACC : ACC-Choco--  S,Adult Comfort Crewneck,,Chocolate Brown,Small,ACC,Yes,,300,,,ACC_Chocolate Brown
ACC : ACC-Choco-- M,Adult Comfort Crewneck,,Chocolate Brown,Medium,ACC,Yes,,300,,,ACC_Chocolate Brown
ACC : ACC-Choco-L,Adult Comfort Crewneck,,Chocolate Brown,Large,ACC,Yes,,300,,,ACC_Chocolate Brown
ACC : ACC-Choco-XL,Adult Comfort Crewneck,,Chocolate Brown,XL,ACC,Yes,,300,,,ACC_Chocolate Brown
ACC : ACC-Choco-XXL,Adult Comfort Crewneck,,Chocolate Brown,XXL,ACC,Yes,,200,,,ACC_Chocolate Brown
ACC : ACC-Choco-XXXL,Adult Comfort Crewneck,,Chocolate Brown,XXXL,ACC,Yes,,100,,,ACC_Chocolate Brown
ACC : ACC-Indigo--  S,Adult Comfort Crewneck,,Indigo Blue,Small,ACC,Yes,,300,,,ACC_Indigo Blue
ACC : ACC-Indigo-- M,Adult Comfort Crewneck,,Indigo Blue,Medium,ACC,Yes,,300,,,ACC_Indigo Blue
ACC : ACC-Indigo-L,Adult Comfort Crewneck,,Indigo Blue,Large,ACC,Yes,,300,,,ACC_Indigo Blue
ACC : ACC-Indigo-XL,Adult Comfort Crewneck,,Indigo Blue,XL,ACC,Yes,,300,,,ACC_Indigo Blue
ACC : ACC-Indigo-XXL,Adult Comfort Crewneck,,Indigo Blue,XXL,ACC,Yes,,200,,,ACC_Indigo Blue
ACC : ACC-Indigo-XXXL,Adult Comfort Crewneck,,Indigo Blue,XXXL,ACC,Yes,,100,,,ACC_Indigo Blue
ACC : ACC-P.Gre--  S,Adult Comfort Crewneck,,Pine Green,Small,ACC,Yes,,300,,,ACC_Pine Green
ACC : ACC-P.Gre-- M,Adult Comfort Crewneck,,Pine Green,Medium,ACC,Yes,,300,,,ACC_Pine Green
ACC : ACC-P.Gre-L,Adult Comfort Crewneck,,Pine Green,Large,ACC,Yes,,300,,,ACC_Pine Green
ACC : ACC-P.Gre-XL,Adult Comfort Crewneck,,Pine Green,XL,ACC,Yes,,300,,,ACC_Pine Green
ACC : ACC-P.Gre-XXL,Adult Comfort Crewneck,,Pine Green,XXL,ACC,Yes,,200,,,ACC_Pine Green
ACC : ACC-P.Gre-XXXL,Adult Comfort Crewneck,,Pine Green,XXXL,ACC,Yes,,100,,,ACC_Pine Green
ACC : ACC-Sage--  S,Adult Comfort Crewneck,,Sage Green,Small,ACC,Yes,,300,,,ACC_Sage Green
ACC : ACC-Sage-- M,Adult Comfort Crewneck,,Sage Green,Medium,ACC,Yes,,300,,,ACC_Sage Green
ACC : ACC-Sage-L,Adult Comfort Crewneck,,Sage Green,Large,ACC,Yes,,300,,,ACC_Sage Green
ACC : ACC-Sage-XL,Adult Comfort Crewneck,,Sage Green,XL,ACC,Yes,,300,,,ACC_Sage Green
ACC : ACC-Sage-XXL,Adult Comfort Crewneck,,Sage Green,XXL,ACC,Yes,,200,,,ACC_Sage Green
ACC : ACC-Sage-XXXL,Adult Comfort Crewneck,,Sage Green,XXXL,ACC,Yes,,100,,,ACC_Sage Green
ACN : ACN-Black--  S,Adult 75/25 Crewneck Sweatshirt,,Black,Small,ACN,Yes,222,600,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-Black-- M,Adult 75/25 Crewneck Sweatshirt,,Black,Medium,ACN,Yes,249,700,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-Black-L,Adult 75/25 Crewneck Sweatshirt,,Black,Large,ACN,Yes,144,600,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-Black-XL,Adult 75/25 Crewneck Sweatshirt,,Black,XL,ACN,Yes,178,500,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-Black-XXL,Adult 75/25 Crewneck Sweatshirt,,Black,XXL,ACN,Yes,236,200,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-Black-XXXL,Adult 75/25 Crewneck Sweatshirt,,Black,XXXL,ACN,Yes,163,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Black
ACN : ACN-C.Red--  S,Adult 75/25 Crewneck Sweatshirt,,Cardinal,Small,ACN,Yes,144,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Cardinal
ACN : ACN-C.Red-- M,Adult 75/25 Crewneck Sweatshirt,,Cardinal,Medium,ACN,Yes,108,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Cardinal
ACN : ACN-C.Red-L,Adult 75/25 Crewneck Sweatshirt,,Cardinal,Large,ACN,Yes,108,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Cardinal
ACN : ACN-C.Red-XL,Adult 75/25 Crewneck Sweatshirt,,Cardinal,XL,ACN,Yes,108,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Cardinal
ACN : ACN-C.Red-XXL,Adult 75/25 Crewneck Sweatshirt,,Cardinal,XXL,ACN,Yes,72,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Cardinal
ACN : ACN-For. Green--  S,Adult 75/25 Crewneck Sweatshirt,,Forest Green,Small,ACN,Yes,1111,1800,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-For. Green-- M,Adult 75/25 Crewneck Sweatshirt,,Forest Green,Medium,ACN,Yes,1423,2034,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-For. Green-L,Adult 75/25 Crewneck Sweatshirt,,Forest Green,Large,ACN,Yes,1409,1800,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-For. Green-XL,Adult 75/25 Crewneck Sweatshirt,,Forest Green,XL,ACN,Yes,1264,1114,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-For. Green-XXL,Adult 75/25 Crewneck Sweatshirt,,Forest Green,XXL,ACN,Yes,750,516,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-For. Green-XXXL,Adult 75/25 Crewneck Sweatshirt,,Forest Green,XXXL,ACN,Yes,,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Forest Green
ACN : ACN-H.Char--  S,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,Small,ACN,Yes,984,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-H.Char-- M,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,Medium,ACN,Yes,985,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-H.Char-L,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,Large,ACN,Yes,980,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-H.Char-XL,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,XL,ACN,Yes,1046,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-H.Char-XXL,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,XXL,ACN,Yes,476,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-H.Char-XXXL,Adult 75/25 Crewneck Sweatshirt,,Heather Charcoal,XXXL,ACN,Yes,,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Heather Charcoal
ACN : ACN-Nat.--  EXS,Adult 75/25 Crewneck Sweatshirt,,Natural, Extra Small,ACN,Yes,,,"<b>Blank Apparel:</b>  <br>12 pieces per colour in assorted sizes.  <br>  <br><b>Custom Apparel:</b>  <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums:  <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour  <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour  <br>Pants (Joggers, Shorts) – 12 pieces per colour  <br>  <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Crewneck,ACN_Natural
